study,protocol,model,accuracy,balanced_accuracy,macro_f1,binary_f1,roc_auc,notes
Prior hybrid paper,cleaned random split,DistilBERT + stylometric neural hybrid,0.7543,0.7542,0.754,0.764,0.879,"Fine-tuned DistilBERT with mean pooling plus normalized stylometric projection; reported in prior PDF."
Current leakage-aware pipeline,random split,TF-IDF Word LR,0.5172,, ,0.5187,0.5392,"Text-only baseline after marker removal and normalized duplicate/conflict removal."
Current leakage-aware pipeline,random split,TF-IDF Char LR,0.4953,, ,0.4974,0.5061,"Character n-gram baseline after strict cleaning."
Current leakage-aware pipeline,random split,TF-IDF Word SVM,0.4891,, ,0.6024,0.4490,"Calibrated Linear SVM; high AI recall but weaker balance."
Current leakage-aware pipeline,random split,Stylometric LR,0.5120,, ,0.5286,0.5149,"Stylometric-only ablation."
Current leakage-aware pipeline,random split,Hybrid TF-IDF + Stylometric LR,0.5411,, ,0.5411,0.5390,"Classical hybrid ablation."
Current leakage-aware pipeline,random split,Frozen DistilRoBERTa Embedding LR,0.5120,, ,0.5209,0.5171,"Frozen transformer embedding ablation with 3000-row training cap."
Current leakage-aware pipeline,random split,Frozen DistilRoBERTa + Stylometric LR,0.5068,, ,0.5202,0.5170,"Frozen transformer plus stylometry ablation."
Current leakage-aware pipeline,prompt-grouped split,TF-IDF Word LR,0.5116,, ,0.5595,0.5152,"Prompt-grouped split blocks prompt-template overlap."
Current leakage-aware pipeline,prompt-grouped split,TF-IDF Char LR,0.5297,, ,0.6260,0.5234,"Best prompt-grouped classical baseline by F1."
Current leakage-aware pipeline,prompt-grouped split,TF-IDF Word SVM,0.5091,, ,0.6356,0.5151,"Highest prompt-grouped F1 but recall-heavy behavior."
Current leakage-aware pipeline,prompt-grouped split,Stylometric LR,0.5215,, ,0.5419,0.5120,"Stylometric-only prompt-grouped ablation."
Current leakage-aware pipeline,prompt-grouped split,Hybrid TF-IDF + Stylometric LR,0.5041,, ,0.5512,0.5106,"Classical hybrid prompt-grouped ablation."
Current leakage-aware pipeline,prompt-grouped split,Frozen DistilRoBERTa Embedding LR,0.5083,, ,0.5365,0.5081,"Frozen transformer prompt-grouped ablation."
Current leakage-aware pipeline,prompt-grouped split,Frozen DistilRoBERTa + Stylometric LR,0.5206,, ,0.5500,0.5078,"Frozen transformer plus stylometry prompt-grouped ablation."
